Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0805,6,1uF,
"C7, C8",0805,2,10uF,
"D2, D3",LED_Kingbright_APA1606_1.6x0.6mm_Horizontal,2,LED,
IC1,SOP65P210X110-6N,1,"74LVC1G157GW,125",
"J1, J2",ORJ-8,2,FC684208R,
L1,0805,1,100R,
"R1, R2, R3, R4, R5",0805,5,50R,
R6,0805,1,330R,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,TestPoint,
"U1, U2",SOT-353_SC-70-5,2,74AHC1G4212,
U3,MODULE_ESP32-C3-ZERO,1,ESP32-C3-ZERO,
U4,FCR684208T_R,1,FCR684208T,
U5,SOT-23-5,1,AP2127K-3.3,
