Designator,Mid X,Mid Y,Rotation,Layer
C1,32.1,8.7,180.0,top
C2,32.1,24.3,180.0,top
C3,28.5,6.3,270.0,top
C4,28.5,22.0,270.0,top
C5,13.5125,7.7,180.0,top
C6,12.8,4.75,270.0,top
C7,13.8,15.7,270.0,top
C8,21.05,15.75,270.0,top
D2,1.25,13.75,90.0,top
D3,1.2275,16.9725,90.0,top
IC1,17.1125,8.45,180.0,top
J1,39.51525,11.2,270.0,top
J2,39.51525,26.8,270.0,top
L1,10.85,16.6,0.0,top
R1,32.1,13.7,180.0,top
R2,32.1,29.3,180.0,top
R3,26.3,6.3,270.0,top
R4,26.3,22.0,270.0,top
R5,13.5125,9.8,180.0,top
R6,6.95,14.4,180.0,top
U1,27.4,10.0,90.0,top
U2,27.4,25.7,90.0,top
U3,12.1,29.0,90.0,top
U4,5.552,5.7,180.0,top
U5,17.4,15.75,180.0,top
